junction,incident_count,avg_res_time,risk_score
SRS Peenya Junc,8,25.60709530625,2.684860107363761
BhashyamCircle-SadashivNagar,2,26.469343158333338,2.5356712628356872
PeenyaPoliceStation,4,25.331169675,2.506357912343418
JakkurCrossJunction,4,25.153022,2.489806403882657
BigBazaar(Whitefield)Junc,1,26.36466031666667,2.4877287323434074
MC Circle,1,25.0307267,2.3637943978518003
BTM16thMain-ORR Junc,2,23.898110600000003,2.2967808173452333
"Bellandur Junction, Outer ring road",1,23.4285513,2.2149380084056665
LowerAgaram(IndiaGarage)Junc,2,21.934713075,2.1143636696228447
ISRO Junction-Airport rd,1,21.842817266666668,2.0676091686145575
Jaipuria-Adugodi,1,21.25293735,2.012804061382362
Bommanahalli,4,19.8415924125,1.9963272060416337
J D MaraJunc,1,20.97513005,1.9869932845849032
MarenahalliRd-18thMainRdJunc,1,20.32718785,1.9267936731929263
OldMadrasRd-BMTC DepotJunc,1,19.606597833333336,1.8598444314607603
UniversityJunc(Janabharti),2,18.845499241666666,1.8273481421986615
Fire Force Junction,2,18.63445868333333,1.8077405914022904
GowdanapalyaJunction,1,19.04382405,1.8075577258591506
South end circle,1,18.1937805,1.7285810958815748
AdugodiJunc,2,16.715429425,1.6294456515118185
Srinivagilu(Ejipura)Junc,1,16.959205216666668,1.613878037042675
BasavamantapaJunc-Dr RajkumarRd,1,16.8068625,1.5997240394457732
DevangaHostelJunction,1,14.661843316666667,1.4004326192156937
AttiguppeCircleJunction,1,13.018610533333334,1.2477616325393774
OldMadrasRd-DoubleRdJunc,3,11.37068878888889,1.1710881205595178
GorappanapalyaJunction,1,11.78033255,1.1327145598345787
RoyanCircle-Chamrajpete,1,11.68523875,1.1238794973771769
Arts&CraftsCircle,1,9.1956618,0.8925755864412587
Minerva Circle,1,9.065334083333331,0.8804669787646215
BEML GateJunc(SuranjandasRd),1,2.6516332666666664,0.2845769491481877
